Organization Name,Category,Location,Annual Revenue Range,Why Good Fit,Annual Gala Event,Decision Maker Title,Buying Trigger
Alex's Lemonade Stand Foundation,Pediatric Cancer,Philadelphia PA,$20M-$30M,Childhood cancer research attracts wealthy parent donors,Annual Lemon Ball,Chief Development Officer,Annual gala planning cycle
Best Friends Animal Society,Animal Welfare,Kanab UT,$100M+,Largest no-kill animal sanctuary wealthy pet lover donors,Strut Your Mutt Gala,VP of Development,Major donor cultivation events
Boys & Girls Clubs of Chicago,Youth Development,Chicago IL,$30M-$50M,Serves 17000 youth attracts corporate and HNW Chicago donors,Annual Great Futures Gala,Chief Philanthropy Officer,Gala auction planning
Cedars-Sinai Medical Center Foundation,Healthcare,Los Angeles CA,$200M+,Premier LA hospital attracts celebrity and HNW donors,Multiple annual galas,Senior VP Philanthropy,Major gift campaign events
City Harvest,Hunger Relief,New York NY,$60M-$80M,NYC food rescue attracts finance industry donors,Annual BID Gala,Chief Development Officer,Spring gala season
Cystic Fibrosis Foundation,Medical Research,Bethesda MD,$300M+,Disease research attracts affected family HNW donors,Breath of Life Gala multiple cities,VP Special Events,Regional gala planning
Denver Art Museum,Arts & Culture,Denver CO,$40M-$60M,Major Western art museum attracts arts patron donors,Annual Friendship Gala,Chief Advancement Officer,Gala and benefit auction planning
Dian Fossey Gorilla Fund,Wildlife Conservation,Atlanta GA,$15M-$25M,Gorilla conservation attracts eco-conscious wealthy donors,Annual fundraising events,Director of Development,Conservation gala planning
Food Bank For New York City,Hunger Relief,New York NY,$70M-$90M,NYC's major food bank attracts finance and corporate donors,Can Do Awards Dinner,Chief Development Officer,Annual benefit planning
Fresh Air Fund,Youth Services,New York NY,$25M-$35M,Provides summer experiences for NYC children attracts family donors,Annual Salute to American Heroes,VP of Development,Summer benefit season
Jewish Family Service of San Diego,Social Services,San Diego CA,$20M-$30M,Serves diverse community attracts Jewish philanthropic donors,Annual Gala,Chief Development Officer,Major donor events
JDRF International,Type 1 Diabetes Research,New York NY,$200M+,T1D research attracts affected family wealthy donors,One Night Gala multiple cities,SVP Events & Experiences,Regional gala planning
Lurie Children's Hospital Foundation,Pediatric Healthcare,Chicago IL,$150M+,Premier children's hospital attracts Chicago HNW donors,Annual Tree of Hope Gala,Chief Development Officer,Major gift campaign events
Nashville Symphony,Arts & Culture,Nashville TN,$25M-$35M,Major performing arts org attracts Nashville elite donors,Symphony Ball,VP of Development,Gala and auction planning
Natural Resources Defense Council,Environmental,New York NY,$150M+,Environmental advocacy attracts eco-conscious wealthy donors,Forces for Nature Gala,Senior VP Development,Major donor cultivation
Operation Smile,Global Health,Virginia Beach VA,$100M+,Cleft surgery for children attracts medical community donors,Annual Smile Gala multiple cities,Chief Development Officer,Regional gala planning
Paws Chicago,Animal Welfare,Chicago IL,$15M-$25M,No-kill animal shelter attracts pet lover donors,Fur Ball,VP of Development,Annual auction event
Phoenix Art Museum,Arts & Culture,Phoenix AZ,$20M-$30M,Largest art museum in Southwest attracts arts patrons,Art of the Party Gala,Chief Advancement Officer,Annual benefit planning
Rise Against Hunger,Hunger Relief,Raleigh NC,$30M-$50M,International hunger relief attracts faith-based wealthy donors,Annual Hunger Heroes Gala,Chief Development Officer,Major fundraising events
San Diego Zoo Wildlife Alliance,Wildlife Conservation,San Diego CA,$200M+,World-famous zoo attracts wealthy animal lover donors,Jungle Bells Ball,VP of Development,Annual gala season
Second Harvest Food Bank of Orange County,Hunger Relief,Irvine CA,$70M-$90M,OC's major food bank attracts wealthy OC donors,Harvest Celebration,Chief Development Officer,Fall benefit season
Special Olympics Southern California,Adaptive Sports,Long Beach CA,$25M-$35M,Serves athletes with disabilities attracts corporate donors,Celebration Gala,VP of Development,Annual fundraising cycle
St. Jude Children's Research Hospital (Regional),Pediatric Cancer,Memphis TN,$1B+ (national),Children's cancer hospital attracts family and celebrity donors,Regional Thanks and Giving events,Regional Development Director,Holiday giving campaign
The Nature Conservancy California,Environmental,San Francisco CA,$100M+ (CA chapter),Conservation work attracts tech industry and eco-wealthy donors,California Gala,State Director,Major donor cultivation
Wounded Warrior Project,Veterans Services,Jacksonville FL,$300M+,Veteran support attracts patriotic wealthy donors,Carry Forward Gala multiple cities,Chief Development Officer,Regional event planning
