Channel,Campaign,Total Leads,Emails Sent,Connections Sent,Connections Accepted,Acceptance Rate,Messages Sent,Replies,Auto-Replies,Opportunities,Reply Rate
Instantly,IVS | Chem Mfg Free Assessment,184,295,,,,,1,1,0,0.3%
Instantly,IVS | Free Assessment - Hiring,44,129,,,,,0,1,0,0.0%
Instantly,IVS - Small,15,45,,,,,0,0,0,0.0%
Instantly,IVS - BW Property Acq,6,18,,,,,0,0,0,0.0%
Instantly,IVS | Company Acq Trigger,4,4,,,,,0,0,0,0.0%
Instantly,INSTANTLY TOTAL,253,491,,,,,1,2,0,0.2%
HeyReach,IVS Marketing List - Connection,277,,394,44,11.2%,9,1,,,
HeyReach,Oilfield Svc (paused),122,,(barely ran),,,,,,
HeyReach,HEYREACH TOTAL,399,,394,44,11.2%,9,1,,,
COMBINED,ALL IVS CAMPAIGNS,652,491,394,44,,9,2,2,0,~0.2%
