Company,Domain,Subsector,Notes
Halliburton,halliburton.com,Full Service,Largest OFS company in US; drilling/completion/production
Schlumberger (SLB),slb.com,Full Service,Largest globally; 120+ countries
Baker Hughes,bakerhughes.com,Full Service,Digital/AI focus; equipment manufacturing
Weatherford International,weatherford.com,Full Service,75+ countries; drilling/completion/intervention
NOV (National Oilwell Varco),nov.com,Equipment/Full Service,Equipment manufacturer + services
ChampionX,championx.com,Production Chemicals,Production optimization; chemicals
Nabors Industries,nabors.com,Drilling Contractor,World's largest land drilling fleet; 500+ rigs
Helmerich & Payne,hpinc.com,Drilling Contractor,Top US land driller; premium rigs
Patterson-UTI Energy,patenergy.com,Drilling/Pressure Pumping,Acquired NexTier; drilling + completions
Precision Drilling,precisiondrilling.com,Drilling Contractor,US + Canada operations
Independence Contract Drilling,icdrilling.com,Drilling Contractor,AC-powered rig fleet
Cactus Drilling,cactusdrilling.com,Drilling Contractor,Largest privately-held US driller
Unit Corporation,unitcorp.com,Drilling/E&P,Drilling + midstream + E&P
Ensign Energy Services,ensignenergy.com,Drilling Contractor,US/Canada/International
Parker Drilling,parkerdrilling.com,Drilling Contractor,Onshore/offshore drilling
Liberty Energy,libertyenergy.com,Pressure Pumping,Top 3 fracking company; data analytics focus
ProPetro Holding,propetroservices.com,Pressure Pumping,Permian Basin focused
ProFrac Holding,pfholdcorp.com,Pressure Pumping,Vertically integrated; sand/logistics
NexTier (now Patterson-UTI),nextierofs.com,Pressure Pumping,Merged with Patterson-UTI 2023
FTS International,ftsi.com,Pressure Pumping,Hydraulic fracturing specialist
Calfrac Well Services,calfrac.com,Pressure Pumping/Coiled Tubing,US/Canada/Argentina
RPC Inc,rfrpinc.com,Pressure Pumping,Cudd Energy Services parent
CUDD Energy Services,cudd.com,Well Intervention,Well control/coiled tubing/snubbing
Nine Energy Service,nineenergyservice.com,Completions,Coiled tubing/wireline/cementing
Key Energy Services,keyenergy.com,Well Servicing,8500 employees; well servicing rigs
Ranger Energy Services,rangerenergy.com,Well Servicing,Acquired Basic Energy; high-spec rigs
Basic Energy Services,basicenergyservices.com,Well Servicing,Now part of Ranger Energy
Superior Energy Services,superiorenergy.com,Well Servicing/Rentals,Rental equipment + well services
Newpark Resources,newpark.com,Fluids/Mats,Drilling fluids; composite mats
Select Energy Services,selectenergy.com,Water Services,Water management for completions
Solaris Oilfield Infrastructure,solarisoilfield.com,Proppant/Logistics,Sand logistics; mobile proppant
Hi-Crush,hicrush.com,Proppant,Frac sand supplier
US Silica,ussilica.com,Proppant,Frac sand + industrial minerals
Covia Holdings,coviacorp.com,Proppant,Minerals/sand supplier
Tidewater Inc,tdw.com,Offshore Vessels,Offshore support vessels
Oceaneering International,oceaneering.com,Offshore/ROV,ROVs; subsea services
Helix Energy Solutions,helixesg.com,Offshore/Well Intervention,Offshore well intervention
Bristow Group,bristowgroup.com,Helicopter Services,Offshore transportation
Oil States International,oilstatesintl.com,Equipment/Offshore,Offshore products; drilling equipment
Dril-Quip,dril-quip.com,Equipment,Subsea/surface equipment
Forum Energy Technologies,f-e-t.com,Equipment,Drilling/completion equipment
Core Laboratories,corelab.com,Reservoir Services,Reservoir analysis; lab services
TechnipFMC,technipfmc.com,Subsea/Offshore,Subsea systems; offshore E&C
Archrock,archrock.com,Compression,Natural gas compression
USA Compression Partners,usacompression.com,Compression,Compression services
Exterran Holdings,exterran.com,Compression/Processing,Gas compression; processing
C&J Energy Services,cjenergy.com,Pressure Pumping,Hydraulic fracturing; cementing
Pioneer Energy Services,pioneeres.com,Drilling/Well Servicing,Drilling rigs + well servicing + wireline
Mammoth Energy Services,mammothenergy.com,Infrastructure/OFS,Frac services; infrastructure
DMC Global,dmcglobal.com,Equipment,Perforating systems (DynaEnergetics)
Yellowjacket Oilfield Services,yjosllc.com,Wireline/Fishing,TX/OK/LA/NM/AK; 219 employees
Dialog Wireline Services,dialogwireline.com,Wireline,TX/NM/LA/OK; cased hole logging
Renegade Services,rloilfield.com,Wireline,Well integrity; 256 employees
Premium Oilfield Services,premiumpipe.com,Wireline/Fishing,LA-based; 201-500 employees
C&C Oilfield Services,ccoilfield.net,Well Servicing,TX/LA/AR/OK/NM; 15+ years
Woolley Tool,woolleytool.com,Downhole Tools,OK-based; 100 years in business
Axis Energy Services,axisofs.com,Rentals,BOP rentals; completion equipment
TETRA Technologies,tetratec.com,Water/Fluids,Completion fluids; water management
Flotek Industries,flotekind.com,Chemistry,Oilfield chemistry; data analytics
Matrix Service Company,matrixservicecompany.com,Infrastructure,Storage tanks; terminals
MRC Global,mrcglobal.com,Distribution,PVF distribution
NOW Inc,dnow.com,Distribution,Energy distribution; MRO products
NXL Technologies,nxltech.com,Equipment,Wireline/coiled tubing pressure control
Altus Intervention,altusintervention.com,Well Intervention,Wireline/coiled tubing/pumping
